Time (s),X (µT),Y (µT),Z (µT)
118.8917815,-33.28881073,8.848617554,27.5406189
119.2222375,-33.2053299,9.358375549,27.57461548
119.5526935,-34.55253601,6.371704102,26.77560425
119.8831499,-35.04246521,7.564300537,26.25262451
120.2136059,-36.41464996,5.316917419,24.0383606
120.5440619,-38.22192383,6.053726196,20.45068359
120.8745174,-36.66233063,4.923667908,24.16946411
121.2049734,-37.30188751,3.699028015,23.40802002
121.5354294,-36.40129852,1.342308044,24.97241211
121.8658864,-37.65882874,2.487510681,22.38452148
122.1963424,-36.22921753,5.240371704,22.82226563
122.5267984,-35.82830048,6.727272034,22.01913452
122.8572535,-36.35529327,5.081687927,22.88021851
123.1877095,-35.82460022,3.39490509,23.58987427
123.5181655,-35.19179535,7.506416321,21.79541016
123.8486219,-36.48560333,6.072807312,16.77148438
124.1790779,-36.58772278,6.444778442,15.15890503
124.5095329,-37.67034149,4.524772644,14.55612183
124.8399888,-37.35668945,6.317932129,15.86306763
125.1704448,-37.44194031,6.89781189,14.41308594
125.5009008,-38.73513794,5.486633301,12.16119385
125.8313561,-39.84033203,6.380348206,6.133148193
126.1618121,-39.91992188,4.543380737,4.924865723
126.4922671,-38.46251678,3.735839844,-0.207458496
126.8227236,-21.06589699,8.752548218,-24.30007935
127.1531786,-17.86890221,10.29538727,-26.54605103
127.4836336,-28.10403252,0.512130737,-21.32138062
127.8140886,-26.12050056,-25.15903473,-10.79925537
128.1445436,-22.99583244,-25.83093262,-15.45681763
128.4749986,-24.11150551,-24.19340515,-16.29724121
128.8054539,-25.60792732,-22.8480835,-15.52630615
129.1359089,-25.91316032,-22.59789276,-15.21865845
129.4663639,-26.74637032,-22.50060272,-14.93609619
129.796819,-29.04030037,-22.33042908,-11.89932251
130.127275,-29.84837151,-22.66604614,-10.31671143
